ExperimentKey,TransfectionDate,PlateNum,CloneKey,Odor1K,Odor2K,Odor3K,Odor4K,Odor5K,Odor1C,Odor2C,Odor3C,Odor4C,Odor5C,PlateLocation,LucData,RLData,Notes,384Location,LabNoteBook,TransfectionType,CellType
392852,11-Jan-17,1.00,999.00,77.00,1101.00,,,,0.00,0.00,,,,B5,3338.00,7101.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392853,11-Jan-17,1.00,999.00,77.00,786.00,,,,0.00,0.00,,,,C5,2078.00,6504.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392854,11-Jan-17,1.00,999.00,77.00,1102.00,,,,0.00,0.00,,,,D5,2845.00,6109.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392855,11-Jan-17,1.00,999.00,77.00,787.00,,,,0.00,0.00,,,,E5,2586.00,6252.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392856,11-Jan-17,1.00,999.00,77.00,1103.00,,,,0.00,0.00,,,,F5,2607.00,6549.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392857,11-Jan-17,1.00,999.00,77.00,788.00,,,,0.00,0.00,,,,G5,1930.00,5338.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392858,11-Jan-17,1.00,999.00,77.00,1104.00,,,,0.00,0.00,,,,H5,2215.00,5644.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392859,11-Jan-17,1.00,999.00,77.00,789.00,,,,0.00,0.00,,,,I5,1942.00,5727.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392860,11-Jan-17,1.00,999.00,77.00,811.00,,,,0.00,0.00,,,,J5,2384.00,5327.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag alone,E Cells
392861,11-Jan-17,1.00,999.00,77.00,790.00,,,,0.00,0.00,,,,K5,2688.00,5058.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392862,11-Jan-17,1.00,999.00,77.00,1106.00,,,,0.00,0.00,,,,L5,2259.00,4892.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392863,11-Jan-17,1.00,999.00,77.00,791.00,,,,0.00,0.00,,,,M5,3362.00,5257.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392864,11-Jan-17,1.00,999.00,77.00,1107.00,,,,0.00,0.00,,,,N5,2998.00,4990.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392865,11-Jan-17,1.00,999.00,77.00,792.00,,,,0.00,0.00,,,,O5,4065.00,4412.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392866,11-Jan-17,1.00,999.00,77.00,1108.00,,,,0.00,0.00,,,,P5,3662.00,4334.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392867,11-Jan-17,1.00,5855.00,1.00,811.00,,,,0.00,0.00,,,,A6,1885.00,10250.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,S6 control,E Cells
392868,11-Jan-17,1.00,999.00,77.00,1197.00,,,,0.00,0.00,,,,B6,3948.00,6713.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392869,11-Jan-17,1.00,999.00,77.00,888.00,,,,0.00,0.00,,,,C6,3329.00,7107.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392870,11-Jan-17,1.00,999.00,77.00,1198.00,,,,0.00,0.00,,,,D6,2593.00,6531.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392871,11-Jan-17,1.00,999.00,77.00,889.00,,,,0.00,0.00,,,,E6,1940.00,6608.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392872,11-Jan-17,1.00,999.00,77.00,1199.00,,,,0.00,0.00,,,,F6,3826.00,6503.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392873,11-Jan-17,1.00,999.00,77.00,890.00,,,,0.00,0.00,,,,G6,2065.00,6150.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392874,11-Jan-17,1.00,999.00,77.00,1200.00,,,,0.00,0.00,,,,H6,2413.00,5455.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392875,11-Jan-17,1.00,999.00,77.00,891.00,,,,0.00,0.00,,,,I6,2237.00,5796.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392876,11-Jan-17,1.00,999.00,77.00,811.00,,,,0.00,0.00,,,,J6,2794.00,5733.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag alone,E Cells
392877,11-Jan-17,1.00,999.00,77.00,892.00,,,,0.00,0.00,,,,K6,2709.00,5815.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392878,11-Jan-17,1.00,999.00,77.00,1202.00,,,,0.00,0.00,,,,L6,3552.00,5151.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392879,11-Jan-17,1.00,999.00,77.00,893.00,,,,0.00,0.00,,,,M6,2657.00,5093.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392880,11-Jan-17,1.00,999.00,77.00,1203.00,,,,0.00,0.00,,,,N6,2002.00,4687.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
