Plate,plateLocation,Luc,RL,cellType,CloneKey,agonistInStockKey,antagInStockKey,experimentType,concentration_ag,concentration_antag,
4,L15,1344,1044,H3A,830,817,1170,antagScreen,5.00E-04,3.00E-05,
4,M15,1554,1014,H3A,830,817,855,antagScreen,5.00E-04,3.00E-05,
4,N15,1218,966,H3A,830,817,1171,antagScreen,5.00E-04,3.00E-05,
4,O15,1371,1007,H3A,830,817,856,antagScreen,5.00E-04,3.00E-05,
4,P15,1297,889,H3A,830,817,1172,antagScreen,5.00E-04,3.00E-05,
4,A16,1472,1610,H3A,830,817,,control,5.00E-04,,
4,B16,1622,1398,H3A,830,817,1265,antagScreen,5.00E-04,3.00E-05,
4,C16,1243,1317,H3A,830,817,952,antagScreen,5.00E-04,3.00E-05,
4,D16,1070,1060,H3A,830,817,1266,antagScreen,5.00E-04,3.00E-05,
4,E16,1148,1014,H3A,830,817,953,antagScreen,5.00E-04,3.00E-05,
4,F16,1168,1268,H3A,830,817,1267,antagScreen,5.00E-04,3.00E-05,
4,G16,1109,1208,H3A,830,817,954,antagScreen,5.00E-04,3.00E-05,
4,H16,1045,1025,H3A,830,817,1268,antagScreen,5.00E-04,3.00E-05,
4,I16,1061,1011,H3A,830,817,955,antagScreen,5.00E-04,3.00E-05,
4,J16,1226,1132,H3A,830,817,1269,antagScreen,5.00E-04,3.00E-05,
4,K16,910,942,H3A,830,817,956,antagScreen,5.00E-04,3.00E-05,
4,L16,940,1015,H3A,830,817,1270,antagScreen,5.00E-04,3.00E-05,
4,M16,1208,818,H3A,830,817,957,antagScreen,5.00E-04,3.00E-05,
4,N16,1225,879,H3A,830,817,1271,antagScreen,5.00E-04,3.00E-05,
4,O16,1027,805,H3A,830,817,958,antagScreen,5.00E-04,3.00E-05,
4,P16,942,869,H3A,830,817,1272,antagScreen,5.00E-04,3.00E-05,
4,A17,1736,1604,H3A,830,817,,control,5.00E-04,,
4,B17,1422,1132,H3A,830,817,1173,antagScreen,5.00E-04,3.00E-05,
4,C17,1616,1339,H3A,830,817,858,antagScreen,5.00E-04,3.00E-05,
4,D17,1207,1126,H3A,830,817,1174,antagScreen,5.00E-04,3.00E-05,
4,E17,1227,1149,H3A,830,817,859,antagScreen,5.00E-04,3.00E-05,
4,F17,1249,1128,H3A,830,817,1175,antagScreen,5.00E-04,3.00E-05,
4,G17,1359,1209,H3A,830,817,860,antagScreen,5.00E-04,3.00E-05,
4,H17,1170,1055,H3A,830,817,1176,antagScreen,5.00E-04,3.00E-05,
4,I17,1328,1025,H3A,830,817,867,antagScreen,5.00E-04,3.00E-05,
4,J17,1236,1023,H3A,830,817,11817,antagScreen,5.00E-04,3.00E-05,
4,K17,1320,949,H3A,830,817,868,antagScreen,5.00E-04,3.00E-05,
4,L17,1263,922,H3A,830,817,1178,antagScreen,5.00E-04,3.00E-05,
4,M17,1317,916,H3A,830,817,869,antagScreen,5.00E-04,3.00E-05,
4,N17,1493,990,H3A,830,817,1179,antagScreen,5.00E-04,3.00E-05,
4,O17,1457,939,H3A,830,817,870,antagScreen,5.00E-04,3.00E-05,
4,P17,1386,893,H3A,830,817,1180,antagScreen,5.00E-04,3.00E-05,
4,A18,1357,1446,H3A,830,811,,control,1.00E-10,,
4,B18,1316,1302,H3A,830,817,1273,antagScreen,5.00E-04,3.00E-05,
4,C18,936,1140,H3A,830,817,960,antagScreen,5.00E-04,3.00E-05,
4,D18,843,1063,H3A,830,817,1274,antagScreen,5.00E-04,3.00E-05,
4,E18,949,1022,H3A,830,817,961,antagScreen,5.00E-04,3.00E-05,
4,F18,876,901,H3A,830,817,1275,antagScreen,5.00E-04,3.00E-05,
4,G18,966,959,H3A,830,817,962,antagScreen,5.00E-04,3.00E-05,
4,H18,896,870,H3A,830,817,1276,antagScreen,5.00E-04,3.00E-05,
4,I18,802,893,H3A,830,817,963,antagScreen,5.00E-04,3.00E-05,
4,J18,828,756,H3A,830,817,12817,antagScreen,5.00E-04,3.00E-05,
4,K18,858,864,H3A,830,817,964,antagScreen,5.00E-04,3.00E-05,
4,L18,891,754,H3A,830,817,1278,antagScreen,5.00E-04,3.00E-05,
4,M18,755,827,H3A,830,817,965,antagScreen,5.00E-04,3.00E-05,
4,N18,757,686,H3A,830,817,1279,antagScreen,5.00E-04,3.00E-05,
4,O18,1087,798,H3A,830,817,966,antagScreen,5.00E-04,3.00E-05,
4,P18,783,699,H3A,830,817,1280,antagScreen,5.00E-04,3.00E-05,
4,A19,989,1551,H3A,830,811,,control,1.00E-10,,
4,B19,1716,1480,H3A,830,817,673,antagScreen,5.00E-04,3.00E-05,
4,C19,1636,1189,H3A,830,817,482,antagScreen,5.00E-04,3.00E-05,
4,D19,1403,1260,H3A,830,817,674,antagScreen,5.00E-04,3.00E-05,
4,E19,1491,1236,H3A,830,817,483,antagScreen,5.00E-04,3.00E-05,
4,F19,1198,1099,H3A,830,817,675,antagScreen,5.00E-04,3.00E-05,
4,G19,1424,1020,H3A,830,817,484,antagScreen,5.00E-04,3.00E-05,
4,H19,1179,1016,H3A,830,817,676,antagScreen,5.00E-04,3.00E-05,
