ExperimentKey,TransfectionDate,PlateNum,CloneKey,Odor1K,Odor2K,Odor3K,Odor4K,Odor5K,Odor1C,Odor2C,Odor3C,Odor4C,Odor5C,PlateLocation,LucData,RLData,Notes,384Location,LabNoteBook,TransfectionType,CellType
391299,04-Nov-16,1,999,77,811,,,,0.0000010,0.000000,,,,A4,150,2119,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391300,04-Nov-16,1,999,77,1133,,,,0.0000010,0.000030,,,,B4,2080,1588,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391301,04-Nov-16,1,999,77,818,,,,0.0000010,0.000030,,,,C4,1232,1602,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391302,04-Nov-16,1,999,77,1134,,,,0.0000010,0.000030,,,,D4,1426,1270,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391303,04-Nov-16,1,999,77,819,,,,0.0000010,0.000030,,,,E4,1519,1378,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391304,04-Nov-16,1,999,77,1135,,,,0.0000010,0.000030,,,,F4,1788,1197,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391305,04-Nov-16,1,999,77,820,,,,0.0000010,0.000030,,,,G4,1905,1248,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391306,04-Nov-16,1,999,77,1136,,,,0.0000010,0.000030,,,,H4,1560,1349,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391307,04-Nov-16,1,999,77,821,,,,0.0000010,0.000030,,,,I4,1402,1166,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391308,04-Nov-16,1,999,77,1137,,,,0.0000010,0.000030,,,,J4,2044,1185,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391309,04-Nov-16,1,999,77,822,,,,0.0000010,0.000030,,,,K4,2083,1213,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391310,04-Nov-16,1,999,77,1138,,,,0.0000010,0.000030,,,,L4,2068,1259,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391311,04-Nov-16,1,999,77,823,,,,0.0000010,0.000030,,,,M4,2040,1018,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391312,04-Nov-16,1,999,77,1139,,,,0.0000010,0.000030,,,,N4,7928,1065,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391313,04-Nov-16,1,999,77,824,,,,0.0000010,0.000030,,,,O4,5358,1015,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391314,04-Nov-16,1,999,77,1140,,,,0.0000010,0.000030,,,,P4,3028,1085,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391315,04-Nov-16,1,999,77,811,,,,0.0000010,0.000000,,,,A5,1497,1979,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391316,04-Nov-16,1,999,77,1233,,,,0.0000010,0.000030,,,,B5,2593,1570,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391317,04-Nov-16,1,999,77,920,,,,0.0000010,0.000030,,,,C5,1624,1606,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391318,04-Nov-16,1,999,77,1234,,,,0.0000010,0.000030,,,,D5,1840,1577,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391319,04-Nov-16,1,999,77,921,,,,0.0000010,0.000030,,,,E5,1051,1446,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391320,04-Nov-16,1,999,77,1235,,,,0.0000010,0.000030,,,,F5,1253,1292,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391321,04-Nov-16,1,999,77,922,,,,0.0000010,0.000030,,,,G5,1840,1182,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391322,04-Nov-16,1,999,77,1236,,,,0.0000010,0.000030,,,,H5,1178,1100,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391323,04-Nov-16,1,999,77,923,,,,0.0000010,0.000030,,,,I5,1804,1234,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391324,04-Nov-16,1,999,77,1237,,,,0.0000010,0.000030,,,,J5,1440,1344,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391325,04-Nov-16,1,999,77,924,,,,0.0000010,0.000030,,,,K5,1861,1127,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391326,04-Nov-16,1,999,77,1238,,,,0.0000010,0.000030,,,,L5,1920,942,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391327,04-Nov-16,1,999,77,925,,,,0.0000010,0.000030,,,,M5,1474,1054,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391328,04-Nov-16,1,999,77,1239,,,,0.0000010,0.000030,,,,N5,2206,1046,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391329,04-Nov-16,1,999,77,926,,,,0.0000010,0.000030,,,,O5,2569,957,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391330,04-Nov-16,1,999,77,1240,,,,0.0000010,0.000030,,,,P5,5574,1239,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391331,04-Nov-16,1,999,77,811,,,,0.0000010,0.000000,,,,A6,157,2103,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391332,04-Nov-16,1,999,77,1141,,,,0.0000010,0.000030,,,,B6,1567,1351,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391333,04-Nov-16,1,999,77,826,,,,0.0000010,0.000030,,,,C6,1093,1552,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391334,04-Nov-16,1,999,77,1142,,,,0.0000010,0.000030,,,,D6,1634,1501,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391335,04-Nov-16,1,999,77,827,,,,0.0000010,0.000030,,,,E6,6796,1552,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391336,04-Nov-16,1,999,77,1143,,,,0.0000010,0.000030,,,,F6,1281,1273,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391337,04-Nov-16,1,999,77,828,,,,0.0000010,0.000030,,,,G6,1348,1292,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391338,04-Nov-16,1,999,77,1144,,,,0.0000010,0.000030,,,,H6,9654,1287,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391339,04-Nov-16,1,999,77,829,,,,0.0000010,0.000030,,,,I6,1548,1197,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391340,04-Nov-16,1,999,77,1145,,,,0.0000010,0.000030,,,,J6,1099,1186,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391341,04-Nov-16,1,999,77,830,,,,0.0000010,0.000030,,,,K6,1528,1165,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391342,04-Nov-16,1,999,77,1146,,,,0.0000010,0.000030,,,,L6,1414,1272,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391343,04-Nov-16,1,999,77,831,,,,0.0000010,0.000030,,,,M6,1420,955,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391344,04-Nov-16,1,999,77,1147,,,,0.0000010,0.000030,,,,N6,2297,1016,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391345,04-Nov-16,1,999,77,832,,,,0.0000010,0.000030,,,,O6,8672,1008,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391346,04-Nov-16,1,999,77,1148,,,,0.0000010,0.000030,,,,P6,2161,1024,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391347,04-Nov-16,1,999,77,811,,,,0.0000010,0.000000,,,,A7,1776,2079,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391348,04-Nov-16,1,999,77,1241,,,,0.0000010,0.000030,,,,B7,7463,2030,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391349,04-Nov-16,1,999,77,928,,,,0.0000010,0.000030,,,,C7,1449,1497,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391350,04-Nov-16,1,999,77,1242,,,,0.0000010,0.000030,,,,D7,1334,1317,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391351,04-Nov-16,1,999,77,929,,,,0.0000010,0.000030,,,,E7,1673,1495,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391352,04-Nov-16,1,999,77,1243,,,,0.0000010,0.000030,,,,F7,1377,1470,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391353,04-Nov-16,1,999,77,930,,,,0.0000010,0.000030,,,,G7,1046,1209,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391354,04-Nov-16,1,999,77,1244,,,,0.0000010,0.000030,,,,H7,1291,1188,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391355,04-Nov-16,1,999,77,931,,,,0.0000010,0.000030,,,,I7,9213,1229,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391356,04-Nov-16,1,999,77,1245,,,,0.0000010,0.000030,,,,J7,2627,1157,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391357,04-Nov-16,1,999,77,932,,,,0.0000010,0.000030,,,,K7,1441,1024,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391358,04-Nov-16,1,999,77,1246,,,,0.0000010,0.000030,,,,L7,1528,1067,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391359,04-Nov-16,1,999,77,933,,,,0.0000010,0.000030,,,,M7,1470,1101,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391360,04-Nov-16,1,999,77,1247,,,,0.0000010,0.000030,,,,N7,2233,921,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391361,04-Nov-16,1,999,77,934,,,,0.0000010,0.000030,,,,O7,2614,1052,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391362,04-Nov-16,1,999,77,1248,,,,0.0000010,0.000030,,,,P7,9764,1197,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391363,04-Nov-16,1,999,77,811,,,,0.0000010,0.000000,,,,A8,165,1910,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391364,04-Nov-16,1,999,77,1149,,,,0.0000010,0.000030,,,,B8,1520,1628,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391365,04-Nov-16,1,999,77,834,,,,0.0000010,0.000030,,,,C8,1215,1535,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391366,04-Nov-16,1,999,77,1150,,,,0.0000010,0.000030,,,,D8,1039,1505,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391367,04-Nov-16,1,999,77,835,,,,0.0000010,0.000030,,,,E8,1120,1215,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391368,04-Nov-16,1,999,77,1151,,,,0.0000010,0.000030,,,,F8,1140,1140,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391369,04-Nov-16,1,999,77,836,,,,0.0000010,0.000030,,,,G8,1226,1190,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391370,04-Nov-16,1,999,77,1152,,,,0.0000010,0.000030,,,,H8,2130,1195,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391371,04-Nov-16,1,999,77,837,,,,0.0000010,0.000030,,,,I8,1949,1287,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391372,04-Nov-16,1,999,77,1153,,,,0.0000010,0.000030,,,,J8,1889,1073,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391373,04-Nov-16,1,999,77,838,,,,0.0000010,0.000030,,,,K8,1512,1175,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391374,04-Nov-16,1,999,77,1154,,,,0.0000010,0.000030,,,,L8,1151,1119,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391375,04-Nov-16,1,999,77,839,,,,0.0000010,0.000030,,,,M8,1760,1077,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391376,04-Nov-16,1,999,77,1155,,,,0.0000010,0.000030,,,,N8,2434,1036,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
