ExperimentKey,TransfectionDate,PlateNum,CloneKey,Odor1K,Odor2K,Odor3K,Odor4K,Odor5K,Odor1C,Odor2C,Odor3C,Odor4C,Odor5C,PlateLocation,LucData,RLData,Notes,384Location,LabNoteBook,TransfectionType,CellType
394759,26-Jan-17,1,999,77,0,,,,0.00,0,,,,E4,3838,1477,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394760,26-Jan-17,1,999,77,0,,,,0.00,0,,,,F4,4897,1475,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394761,26-Jan-17,1,999,77,0,,,,0.00,0,,,,G4,4947,1677,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394762,26-Jan-17,1,999,77,0,,,,0.00,0,,,,H4,4405,1558,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394763,26-Jan-17,1,999,77,0,,,,0.00,0,,,,I4,4433,1510,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394764,26-Jan-17,1,999,77,0,,,,0.00,0,,,,J4,5477,1351,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394765,26-Jan-17,1,999,77,0,,,,0.00,0,,,,K4,5016,1328,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394766,26-Jan-17,1,999,77,0,,,,0.00,0,,,,L4,5253,1274,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394767,26-Jan-17,1,999,77,0,,,,0.00,0,,,,M4,5387,1443,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394768,26-Jan-17,1,999,77,0,,,,0.00,0,,,,N4,4581,1201,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394769,26-Jan-17,1,999,77,0,,,,0.00,0,,,,O4,4735,1104,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394770,26-Jan-17,1,999,77,0,,,,0.00,0,,,,P4,5021,1279,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394771,26-Jan-17,1,999,77,0,,,,0.00,0,,,,A5,4648,1959,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394772,26-Jan-17,1,999,77,0,,,,0.00,0,,,,B5,5037,2053,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394773,26-Jan-17,1,999,77,0,,,,0.00,0,,,,C5,5374,1781,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394774,26-Jan-17,1,999,77,0,,,,0.00,0,,,,D5,5410,1760,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394775,26-Jan-17,1,999,77,0,,,,0.00,0,,,,E5,3709,1394,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394776,26-Jan-17,1,999,77,0,,,,0.00,0,,,,F5,4497,1605,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
