Receptor,SV40,CRE,Row,Column,masterMix,Plate,TMAConcentration,receptorType,Luc,RL,,,,
3.75,1,27.5,E,1,7,4,3.7037E-05,TAAR5,13207,3326,,,,
3.75,1,27.5,F,1,7,4,0.000111111,TAAR5,17100,3234,,,,
3.75,1,27.5,G,1,7,4,0.000333333,TAAR5,18261,3083,,,,
3.75,1,27.5,H,1,7,4,0.001,TAAR5,19826,3118,,,,
3.75,1,27.5,A,2,7,4,0,TAAR5,1335,3414,,,,
3.75,1,27.5,B,2,7,4,1.37174E-06,TAAR5,2339,3216,,,,
3.75,1,27.5,C,2,7,4,4.11523E-06,TAAR5,4547,3121,,,,
3.75,1,27.5,D,2,7,4,1.23457E-05,TAAR5,9058,3236,,,,
3.75,1,27.5,E,2,7,4,3.7037E-05,TAAR5,12935,3212,,,,
3.75,1,27.5,F,2,7,4,0.000111111,TAAR5,15903,3112,,,,
3.75,1,27.5,G,2,7,4,0.000333333,TAAR5,18984,2935,,,,
3.75,1,27.5,H,2,7,4,0.001,TAAR5,18663,2991,,,,
3.75,1,27.5,A,3,7,4,0,TAAR5,1327,3666,,,,
3.75,1,27.5,B,3,7,4,1.37174E-06,TAAR5,2199,3519,,,,
3.75,1,27.5,C,3,7,4,4.11523E-06,TAAR5,4701,3333,,,,
3.75,1,27.5,D,3,7,4,1.23457E-05,TAAR5,8318,3103,,,,
3.75,1,27.5,E,3,7,4,3.7037E-05,TAAR5,12548,3148,,,,
3.75,1,27.5,F,3,7,4,0.000111111,TAAR5,15829,2830,,,,
3.75,1,27.5,G,3,7,4,0.000333333,TAAR5,18219,3027,,,,
3.75,1,27.5,H,3,7,4,0.001,TAAR5,18908,2951,,,,
3.75,1,27.5,A,4,7,4,0,Rho,1064,3742,,,,
3.75,1,27.5,B,4,7,4,1.37174E-06,Rho,1036,3659,,,,
3.75,1,27.5,C,4,7,4,4.11523E-06,Rho,996,3379,,,,
3.75,1,27.5,D,4,7,4,1.23457E-05,Rho,1072,3158,,,,
3.75,1,27.5,E,4,7,4,3.7037E-05,Rho,1117,3158,,,,
3.75,1,27.5,F,4,7,4,0.000111111,Rho,1142,3271,,,,
3.75,1,27.5,G,4,7,4,0.000333333,Rho,1127,3365,,,,
3.75,1,27.5,H,4,7,4,0.001,Rho,1163,3547,,,,
3.75,1,27.5,A,5,7,4,0,Rho,1066,3580,,,,
3.75,1,27.5,B,5,7,4,1.37174E-06,Rho,969,3368,,,,
3.75,1,27.5,C,5,7,4,4.11523E-06,Rho,931,3231,,,,
3.75,1,27.5,D,5,7,4,1.23457E-05,Rho,1072,3139,,,,
3.75,1,27.5,E,5,7,4,3.7037E-05,Rho,1149,2938,,,,
3.75,1,27.5,F,5,7,4,0.000111111,Rho,1045,3054,,,,
3.75,1,27.5,G,5,7,4,0.000333333,Rho,1139,3124,,,,
3.75,1,27.5,H,5,7,4,0.001,Rho,1180,3656,,,,
3.75,1,27.5,A,6,7,4,0,Rho,991,3747,,,,
3.75,1,27.5,B,6,7,4,1.37174E-06,Rho,923,3365,,,,
3.75,1,27.5,C,6,7,4,4.11523E-06,Rho,1062,3204,,,,
3.75,1,27.5,D,6,7,4,1.23457E-05,Rho,979,3172,,,,
3.75,1,27.5,E,6,7,4,3.7037E-05,Rho,1130,3035,,,,
3.75,1,27.5,F,6,7,4,0.000111111,Rho,1215,3351,,,,
3.75,1,27.5,G,6,7,4,0.000333333,Rho,1223,3304,,,,
3.75,1,27.5,H,6,7,4,0.001,Rho,1158,3741,,,,
5,0.75,32.5,A,7,8,4,0,TAAR5,1542,3091,,,,
5,0.75,32.5,B,7,8,4,1.37174E-06,TAAR5,2730,2544,,,,
5,0.75,32.5,C,7,8,4,4.11523E-06,TAAR5,4996,2355,,,,
5,0.75,32.5,D,7,8,4,1.23457E-05,TAAR5,8526,2400,,,,
5,0.75,32.5,E,7,8,4,3.7037E-05,TAAR5,12509,2371,,,,
5,0.75,32.5,F,7,8,4,0.000111111,TAAR5,16569,2543,,,,
5,0.75,32.5,G,7,8,4,0.000333333,TAAR5,18973,2495,,,,
5,0.75,32.5,H,7,8,4,0.001,TAAR5,18990,2659,,,,
5,0.75,32.5,A,8,8,4,0,TAAR5,1576,3262,,,,
5,0.75,32.5,B,8,8,4,1.37174E-06,TAAR5,3082,2612,,,,
5,0.75,32.5,C,8,8,4,4.11523E-06,TAAR5,5779,2477,,,,
5,0.75,32.5,D,8,8,4,1.23457E-05,TAAR5,9502,2283,,,,
5,0.75,32.5,E,8,8,4,3.7037E-05,TAAR5,13276,2366,,,,
5,0.75,32.5,F,8,8,4,0.000111111,TAAR5,16049,2709,,,,
5,0.75,32.5,G,8,8,4,0.000333333,TAAR5,18902,2678,,,,
5,0.75,32.5,H,8,8,4,0.001,TAAR5,20384,2655,,,,
5,0.75,32.5,A,9,8,4,0,TAAR5,1437,3278,,,,
5,0.75,32.5,B,9,8,4,1.37174E-06,TAAR5,3092,2943,,,,
5,0.75,32.5,C,9,8,4,4.11523E-06,TAAR5,6049,2650,,,,
5,0.75,32.5,D,9,8,4,1.23457E-05,TAAR5,8948,2368,,,,
